name	category	state	exception	norm1	norm1_description	norm1_link	norm1_linkDescription	norm2	norm2_description	norm2_link	norm2_linkDescription	norm3	norm3_description	norm3_link	norm3_linkDescription	norm4	norm4_description	norm4_link	norm4_linkDescription	norm5	norm5_description	norm5_link	norm5_linkDescription
Paraguay	Libertad de expresión	insuficiente	Noticias de actualidad	Ley 1328 Artículo 41 num. 1 y 2	Artículo 41. Es lícita también, sin autorización ni pago de remuneración, siempre que se indique el nombre del autor y la fuente, y que la reproducción o divulgación no haya sido objeto de reserva expresa: 1. la reproducción y distribución por la prensa, o la transmisión por cualquier medio, de artículos de actualidad sobre cuestiones económicas, sociales, artísticas, políticas o religiosas, publicados en medios de comunicación social, o divulgados a través de la radiodifusión, sin perjuicio del derecho exclusivo del autor a publicarlos en forma separada, individualmente o como colección; 2. la difusión, con ocasión de las informaciones relativas a acontecimientos de actualidad por medios sonoros o audiovisuales, de imágenes o sonidos de las obras vistas u oídas en el curso de tales acontecimientos, en la medida justificada por el fin de la información; 	https://wipolex.wipo.int/es/text/129429	Enlace a la norma																
Perú	Libertad de expresión	insuficiente	Noticias de actualidad	Decreto Legislativo 822 Artículo 45 a y b	Artículo 45. Es lícita también, sin autorización, siempre que se indique el nombre del autor y la fuente, y que la reproducción o divulgación no haya sido objeto de reserva expresa: a. La difusión, con ocasión de las informaciones relativas a acontecimientos de actualidad por medios sonoros o audiovisuales, de imágenes o sonidos de las obras vistas u oídas en el curso de tales acontecimientos, en la medida justificada por el fin de la información. b. La difusión por la prensa o la transmisión por cualquier medio, a título de información de actualidad, de los discursos, disertaciones, alocuciones, sermones y otras obras de carácter similar pronunciadas en público, y los discursos pronunciados durante actuaciones judiciales, en la medida en que lo justifiquen los fines de información que se persiguen, y sin perjuicio del derecho que conservan los autores de las obras difundidas para publicarlas individualmente o en forma de colección. 	https://wipolex.wipo.int/en/text/506917	Enlace a la norma																
Uruguay	Libertad de expresión	suficiente	Noticias de actualidad	Ley 9739 Artículo 45 num. 3	Artículo 45. No es reproducción ilícita: (...) 3.° Noticias, reportajes, informaciones periodísticas o grabados de interés general, siempre que se mantenga su versión exacta y se exprese el origen de ellos; 	https://www.impo.com.uy/bases/leyes/9739-1937/45	Enlace a la norma																
Argentina	Libertad de expresión	insuficiente	Fines de información	Ley 11723 Artículo 27	Artículo 27. Los discursos políticos o literarios y en general las conferencias sobre temas intelectuales, no podrán ser publicados si el autor no lo hubiere expresamente autorizado. Los discursos parlamentarios no podrán ser publicados con fines de lucro, sin la autorización del autor. Exceptúase la información periodística. 	http://servicios.infoleg.gob.ar/infolegInternet/anexos/40000-44999/42755/texact.htm	Enlace a la norma																
Brasil	Libertad de expresión	insuficiente	Fines de información	Ley 9610 Artículo 46 num. I b	Artículo 46. No constituye ofensa a los derechos de autor: I - la reproducción: (...) b) en diarios o periódicos, de discursos pronunciados en reuniones públicas de cualquier naturaleza;al, siempre que se mantenga su versión exacta y se exprese el origen de ellos 	https://wipolex.wipo.int/es/text/492820	Enlace a la norma																
Chile	Libertad de expresión	insuficiente	Fines de información	Ley 17336 Artículo 71 D inc. 2 	Artículo 71 D. (...) Las conferencias, discursos políticos, alegatos judiciales y otras obras del mismo carácter que hayan sido pronunciadas en público, podrán ser utilizadas libremente y sin pago de remuneración, con fines de información, quedando reservado a su autor el derecho de publicarlas en colección separada.	https://www.bcn.cl/leychile/navegar?idNorma=28933&idParte=8917021	Enlace a la norma																
Colombia	Libertad de expresión	insuficiente	Fines de información	Ley 23 Artículo 33	Artículo 33. Pueden ser reconocidas cualquier título, fotografía ilustración y comentario relativo a acontecimiento de actualidad, publicados por la prensa o difundidos por la radio o la televisión, si ello no hubiere sido expresamente prohibido.	http://derechodeautor.gov.co:8080/documents/10181/20095192/LEY+23+DEL+28+DE+ENERO+DE+1982++LEY+DE+DERECHOS+DE+AUTOR.pdf/9583a270-441d-4be6-a11a-f5e4676bfc3c	Enlace a la norma	Ley 23 Artículo 35	Artículo 35. Pueden publicarse en la prensa periódica, por la radiodifusión o por la televisión, con carácter de noticias de actualidad, sin necesidad de autorización alguna, los discursos pronunciados o leídos en asambleas deliberantes, en los debates judiciales o en las que se promuevan ante otras autoridades públicas, o cualquier conferencia, discurso, sermón u otra obra similar, pronunciada en público, siempre que se trate de obras cuya propiedad no haya sido previa y expresamente reservada. Es entendido que las obras de este género de un autor no pueden publicarse en colecciones separadas sin permiso del mismo.	http://derechodeautor.gov.co:8080/documents/10181/20095192/LEY+23+DEL+28+DE+ENERO+DE+1982++LEY+DE+DERECHOS+DE+AUTOR.pdf/9583a270-441d-4be6-a11a-f5e4676bfc3c	Enlace a la norma	Ley 23  Artículo 178 b	Artículo 178. No son aplicables los artículos anteriores [sobre Derechos Conexos] de la presente Ley cuando los actos a que se refieren estos artículos tienen por objeto: (...) B. Informar sobre sucesos de actualidad, a condición de que solo se haga uso de breves fragmentos de una interpretación o ejecución, de un fonograma o de una emisión de radiodifusión; 	http://derechodeautor.gov.co:8080/documents/10181/20095192/LEY+23+DEL+28+DE+ENERO+DE+1982++LEY+DE+DERECHOS+DE+AUTOR.pdf/9583a270-441d-4be6-a11a-f5e4676bfc3c	Enlace a la norma								
Ecuador	Libertad de expresión	suficiente	Fines de información	Código Ingenios Artículo 212 num. 4, 5 y 8	Artículo 212. Actos que no requieren autorización para su uso.- Sin perjuicio de lo dispuesto en el artículo anterior, de conformidad con la naturaleza de la obra, los instrumentos internacionales de los que Ecuador es parte y los principios de este Código, no constituirá violación de los derechos patrimoniales del titular de derechos, aquellos casos determinados en el presente artículo, siempre que no atenten contra la normal explotación de las obras y no causen perjuicio injustificado a los legítimos intereses del titular o titulares de los derechos. En este sentido, los siguientes actos no requieren la autorización del titular de los derechos ni están sujetos a remuneración alguna: (...) 4. La reproducción, traducción, distribución y comunicación pública con fines informativos de artículos, comentarios, fotografías, ilustraciones y obras similares sobre sucesos de actualidad y de interés colectivo, siempre que se mencione la fuente y el nombre del autor, si el original lo indica, y no se haya hecho constar en origen la reserva de derechos; 5. La reproducción, traducción y comunicación pública con fines informativos de conferencias, discursos y obras similares divulgadas en asambleas, reuniones públicas o debates públicos sobre asuntos de interés general; (...) 8. La reproducción y comunicación pública con fines informativos de obras vistas u oídas en el curso de acontecimientos de actualidad por medio de la fotografía, la cinematografía o por la radiodifusión o transmisión pública de forma alámbrica o inalámbrica; 	https://wipolex.wipo.int/es/text/439410	Enlace a la norma																
México	Libertad de expresión	suficiente	Fines de información	Ley Federal del Derecho de Autor Artículo 148 II	Artículo 148. Las obras literarias y artísticas ya divulgadas podrán utilizarse, siempre que no se afecte la explotación normal de la obra, sin autorización del titular del derecho patrimonial y sin remuneración, citando invariablemente la fuente y sin alterar la obra, sólo en los siguientes casos:  (...)  II. Reproducción de artículos, fotografías, ilustraciones y comentarios referentes a acontecimientos de actualidad, publicados por la prensa o difundidos por la radio o la televisión, o cualquier otro medio de difusión, si esto no hubiere sido expresamente prohibido por el titular del derecho; 	https://wipolex.wipo.int/en/text/579009	Enlace a la norma	Ley Federal del Derecho de Autor Artículo 151 II	Artículo 151. No constituyen violaciones a los derechos de los artistas intérpretes o ejecutantes, productores de fonogramas, de videogramas u organismos de radiodifusión la utilización de sus actuaciones, fonogramas, videogramas o emisiones, cuando: (...)  II. Se trate de breves fragmentos utilizados en informaciones sobre sucesos de actualidad; 	https://wipolex.wipo.int/en/text/579009	Enlace a la norma												
Panamá	Libertad de expresión	suficiente	Fines de información	Ley 64 Artículo 71 num. 1, 2 y 3	Artículo 71. Son lícitas sin autorización ni remuneración, siempre que se indique el nombre del autor y la fuente: 1. La reproducción y distribución por la prensa, o la transmisión por cualquier medio, de artículos de actualidad sobre cuestiones económicas, sociales, artísticas, políticas o religiosas, publicados en medios de comunicación social, siempre que la reproducción o transmisión no hayan sido reservadas expresamente y sin perjuicio del derecho exclusivo del autor de reunir esos artículos en forma de colección. 2. La difusión de informaciones relativas a acontecimientos de actualidad, por medios sonoros o audiovisuales, de breves fragmentos de imágenes o sonidos de las obras vistas u oídas en el curso de tales acontecimientos, en la medida justificada para los fines exclusivos de la información. 3. La difusión por la prensa o la transmisión por cualquier medio, a título de información de actualidad, de los discursos, disertaciones, alocuciones, sermones y otras obras de carácter similar pronunciados en público, así como de los discursos pronunciados durante actuaciones judiciales, cuando se justifiquen los fines de información que se persigan y sin perjuicio del derecho que conservan los autores de las obras difundidas para publicarlas individualmente o en forma de colección. 	https://www.wipo.int/edocs/lexdocs/laws/es/pa/pa043es.pdf	Enlace a la norma	Ley 64 Artículo 72 	Artículo 72. Es lícito que los organismos de radiodifusión, sin autorización del autor ni pago de una remuneración especial, realicen grabaciones efímeras, con sus propios equipos y para la utilización por una sola vez en sus propias emisiones de radiodifusión, de una obra que tengan el derecho de radiodifundir. Sin embargo, el organismo radioemisor deberá destruir la grabación en el plazo de tres (3) meses, contados desde su realización, a menos que se haya convenido con el autor un plazo mayor. No obstante, la grabación podrá conservarse en archivos oficiales cuando tenga un carácter documental excepcional.	https://www.wipo.int/edocs/lexdocs/laws/es/pa/pa043es.pdf	Enlace a la norma	Ley 64 Artículo 73	Artículo 73. Es lícito, sin autorización del autor ni pago de remuneración especial, salvo pacto en contrario, que un organismo de radiodifusión a través de sus propias estaciones transmita o retransmita públicamente por cable una obra originalmente radiodifundida por él con el consentimiento del autor, siempre que la transmisión o retransmisión pública sea simultánea con la radiodifusión original y que la obra se emita por radiodifusión o transmisión pública sin alteraciones. Conforme al principio de los usos honrados exigible a toda excepción y limitación al derecho de autor, en ningún caso, lo dispuesto en este artículo permitirá la retransmisión a través de Internet de las señales de televisión por cualquier medio sin la autorización del titular o titulares del derecho sobre el contenido de la señal y, de haber alguna, de la señal. 	https://www.wipo.int/edocs/lexdocs/laws/es/pa/pa043es.pdf	Enlace a la norma								
Paraguay	Libertad de expresión	insuficiente	Fines de información	Ley 1328 Artículo 41 num. 3	Artículo 41. Es lícita también, sin autorización ni pago de remuneración, siempre que se indique el nombre del autor y la fuente, y que la reproducción o divulgación no haya sido objeto de reserva expresa: (...)  3. la difusión por la prensa o la transmisión por cualquier medio, a título de información de actualidad, de los discursos, disertaciones, alocuciones, sermones y otras obras de carácter similar pronunciadas en público, y los discursos pronunciados durante actuaciones judiciales, en la medida en que lo justifiquen los fines de información que se persiguen, y sin perjuicio del derecho que conservan los autores de las obras difundidas para publicarlas individualmente o en forma de colección; 	https://wipolex.wipo.int/es/text/129429	Enlace a la norma	Ley 1328 Artículo 42	Artículo 42. Cualquier organismo de radiodifusión podrá, sin autorización del autor ni pago de una remuneración especial, realizar grabaciones efímeras con sus propios equipos y para la utilización por una sola vez, en sus propias emisiones de radiodifusión, de una obra sobre la cual tengan el derecho de radiodifundir. Dicha grabación deberá ser destruida en un plazo de tres meses, a menos que se haya convenido con el autor uno mayor. Sin embargo, tal grabación podrá conservarse en archivos oficiales, también sin autorización del autor, cuando la misma tenga un carácter documental excepcional.	https://wipolex.wipo.int/es/text/129429	Enlace a la norma	Ley 1328 Artículo 43	Artículo 43. Es lícito, sin autorización del autor ni pago de remuneración especial, que un organismo de radiodifusión retransmita o transmita públicamente por cable una obra originalmente radiodifundida por él, con el consentimiento del autor, siempre que tal retransmisión o transmisión pública sea simultánea con la radiodifusión original y que la obra se emita por radiodifusión o transmisión pública sin alteraciones.	https://wipolex.wipo.int/es/text/129429	Enlace a la norma								
Perú	Libertad de expresión	insuficiente	Fines de información	Decreto Legislativo 822 Artículo 45 a y b	Artículo 45. Es lícita también, sin autorización, siempre que se indique el nombre del autor y la fuente, y que la reproducción o divulgación no haya sido objeto de reserva expresa: a. La difusión, con ocasión de las informaciones relativas a acontecimientos de actualidad por medios sonoros o audiovisuales, de imágenes o sonidos de las obras vistas u oídas en el curso de tales acontecimientos, en la medida justificada por el fin de la información. b. La difusión por la prensa o la transmisión por cualquier medio, a título de información de actualidad, de los discursos, disertaciones, alocuciones, sermones y otras obras de carácter similar pronunciadas en público, y los discursos pronunciados durante actuaciones judiciales, en la medida en que lo justifiquen los fines de información que se persiguen, y sin perjuicio del derecho que conservan los autores de las obras difundidas para publicarlas individualmente o en forma de colección. 	https://wipolex.wipo.int/en/text/506917	Enlace a la norma																
Uruguay	Libertad de expresión	insuficiente	Fines de información	Ley 9739 Artículo 25	Artículo 25. Los discursos políticos, científicos o literarios y, en general, las conferencias sobre temas intelectuales, no podrán ser publicados si el autor no lo hubiera autorizado. Los discursos parlamentarios podrán ser publicados libremente salvo cuando se haga la publicación con fines de lucro, caso en el cual será necesaria la autorización del autor. Exceptúase la información periodística.	https://www.impo.com.uy/bases/leyes/9739-1937/25	Enlace a la norma	Ley 9739 Artículo 45 num. 1	Artículo 45. No es reproducción ilícita: 1.° La publicación o difusión por radio o prensa, de obras destinadas a la enseñanza, de extractos, fragmentos de poesías y artículos sueltos, siempre que se indique el nombre del autor, salvo lo dispuesto en el artículo 22.	https://www.impo.com.uy/bases/leyes/9739-1937/45	Enlace a la norma												
Argentina	Libertad de expresión	insuficiente	Documentos públicos	Ley 11723 Artículo 27	Artículo 27. Los discursos políticos o literarios y en general las conferencias sobre temas intelectuales, no podrán ser publicados si el autor no lo hubiere expresamente autorizado. Los discursos parlamentarios no podrán ser publicados con fines de lucro, sin la autorización del autor. Exceptúase la información periodística.	http://servicios.infoleg.gob.ar/infolegInternet/anexos/40000-44999/42755/texact.htm	Enlace a la norma																
Brasil	Libertad de expresión	no existe	Documentos públicos																				
Chile	Libertad de expresión	no existe	Documentos públicos																				
Colombia	Libertad de expresión	insuficiente	Documentos públicos	Ley 23 Artículo 41	Artículo 41. Es permitido a todos reproducir la Constitución, leyes, decretos, ordenanzas, acuerdos, reglamentos, demás actos administrativos y decisiones judiciales, bajo la obligación de conformarse puntualmente con la edición oficial, siempre y cuando no esté prohibido.	http://derechodeautor.gov.co:8080/documents/10181/20095192/LEY+23+DEL+28+DE+ENERO+DE+1982++LEY+DE+DERECHOS+DE+AUTOR.pdf/9583a270-441d-4be6-a11a-f5e4676bfc3c	Enlace a la norma																
Ecuador	Libertad de expresión	suficiente	Documentos públicos	Código Ingenios Artículo 107	Artículo 107. Materia no protegible.- No son objeto de protección las disposiciones legales y reglamentarias, los proyectos de ley, las resoluciones judiciales, los actos, decretos, acuerdos, resoluciones, deliberaciones y dictámenes de los organismos públicos, y los demás textos oficiales de orden legislativo, administrativo o judicial, así como sus traducciones oficiales. Tampoco son objeto de protección los discursos políticos ni las disertaciones pronunciadas en debates judiciales. Sin embargo, el autor gozará del derecho exclusivo de reunir en colección las obras mencionadas en este inciso con sujeción a lo dispuesto en este Capítulo.	https://wipolex.wipo.int/es/text/439410	Enlace a la norma																
México	Libertad de expresión	suficiente	Documentos públicos	Ley Federal del Derecho de Autor Artículo 14 VIII	Artículo 14. No son objeto de la protección como derecho de autor a que se refiere esta Ley: (...)  VIII. Los textos legislativos, reglamentarios, administrativos o judiciales, así como sus traducciones oficiales. En caso de ser publicados, deberán apegarse al texto oficial y no conferirán derecho exclusivo de edición; Sin embargo, serán objeto de protección las concordancias, interpretaciones, estudios comparativos, anotaciones, comentarios y demás trabajos similares que entrañen, por parte de su autor, la creación de una obra original;	https://wipolex.wipo.int/en/text/579009	Enlace a la norma																
Panamá	Libertad de expresión	suficiente	Documentos públicos	Ley 64 Artículo 13 num. 2	Artículo 13. No gozan de protección por el derecho de autor: (...)  2. Los textos oficiales de carácter administrativo, legislativo o judicial ni las traducciones oficiales de los mismos, sin perjuicio de la obligación de respetar los textos y citar la fuente, así como el nombre del autor si este figura en la fuente.	https://www.wipo.int/edocs/lexdocs/laws/es/pa/pa043es.pdf	Enlace a la norma																
Paraguay	Libertad de expresión	no existe	Documentos públicos																				
Perú	Libertad de expresión	no existe	Documentos públicos																				
Uruguay	Libertad de expresión	suficiente	Documentos públicos	Ley 9739 Artículo 25	Artículo 25. Los discursos políticos, científicos o literarios y, en general, las conferencias sobre temas intelectuales, no podrán ser publicados si el autor no lo hubiera autorizado. Los discursos parlamentarios podrán ser publicados libremente salvo cuando se haga la publicación con fines de lucro, caso en el cual será necesaria la autorización del autor. Exceptúase la información periodística.	https://www.impo.com.uy/bases/leyes/9739-1937/25	Enlace a la norma	Ley 9739 Artículo 45 num. 5	Artículo 45. No es reproducción ilícita: (...)  5.° La reproducción fiel de las leyes, Códigos, actas oficiales y documentos públicos de cualquier género;	https://www.impo.com.uy/bases/leyes/9739-1937/45	Enlace a la norma												
Argentina	Libertad de expresión	no existe	Parodia y afines																				
Brasil	Libertad de expresión	suficiente	Parodia y afines	Ley 9610 Artículo 47	Artículo 47. Son libres las paráfrasis y parodias que no sean verdaderas reproducciones de la obra originaria ni le impliquen descrédito.	https://wipolex.wipo.int/es/text/492820	Enlace a la norma																
Chile	Libertad de expresión	suficiente	Parodia y afines	Ley 17336 Artículo 71 P	Artículo 71 P. Será lícita la sátira o parodia que constituye un aporte artístico que lo diferencia de la obra a que se refiere, a su interpretación o a la caracterización de su intérprete.	https://www.bcn.cl/leychile/navegar?idNorma=28933&idParte=8917034	Enlace a la norma																
Colombia	Libertad de expresión	suficiente	Parodia y afines	Ley 1915 Artículo 16 d	Artículo 16. Limitaciones y excepciones al derecho de autor y los derechos conexos. Sin perjuicio de las limitaciones y excepciones establecidas en la Decisión Andina 351 de 1993, en la Ley 23 de 1982 y en la Ley 1680 de 2013, se crean las siguientes:  (...)  d) Se permitirá la transformación de obras literarias y artísticas divulgadas, siempre que se realice con fines de parodia y caricatura, y no implique un riesgo de confusión con la obra originaria.	http://derechodeautor.gov.co:8080/documents/10181/182597/LEY+1915+DEL+12+DE+JULIO+DE+2018.pdf/e29d68a7-1250-4204-a0dd-6c511130d912	Enlace a la norma																
